Symbol,Date,Close
KO,1/3/2022,59.3
KO,1/4/2022,60.29
KO,1/5/2022,60.79
KO,1/6/2022,60.47
KO,1/7/2022,60.33
KO,1/10/2022,60.43
KO,1/11/2022,60.45
KO,1/12/2022,60.54
KO,1/13/2022,60.9
KO,1/14/2022,61.39
KO,1/18/2022,60.9
KO,1/19/2022,61
KO,1/20/2022,60.75
KO,1/21/2022,60.45
KO,1/24/2022,59.96
KO,1/25/2022,59.82
KO,1/26/2022,59.6
KO,1/27/2022,59.65
KO,1/28/2022,60.84
KO,1/31/2022,61.01
KO,2/1/2022,60.56
KO,2/2/2022,61.18
KO,2/3/2022,61.61
KO,2/4/2022,60.96
KO,2/7/2022,61.6
KO,2/8/2022,62
KO,2/9/2022,61.04
KO,2/10/2022,61.38
KO,2/11/2022,60.29
KO,2/14/2022,60.68
KO,2/15/2022,60.91
KO,2/16/2022,60.9
KO,2/17/2022,62.12
KO,2/18/2022,62.54
KO,2/22/2022,62.28
KO,2/23/2022,61.59
KO,2/24/2022,60.51
KO,2/25/2022,62.85
KO,2/28/2022,62.24
KO,3/1/2022,61.97
KO,3/2/2022,62.43
KO,3/3/2022,62.47
KO,3/4/2022,62.57
KO,3/7/2022,61.08
KO,3/8/2022,58.66
KO,3/9/2022,58.96
KO,3/10/2022,57.88
KO,3/11/2022,57.92
KO,3/14/2022,58.54
KO,3/15/2022,59.62
KO,3/16/2022,59.46
KO,3/17/2022,60.09
KO,3/18/2022,60.1
KO,3/21/2022,60.58
KO,3/22/2022,60.8
KO,3/23/2022,60.4
KO,3/24/2022,60.98
KO,3/25/2022,61.53
KO,3/28/2022,61.92
KO,3/29/2022,62.16
KO,3/30/2022,62.21
KO,3/31/2022,62
KO,4/1/2022,62.87
KO,4/4/2022,62.54
KO,4/5/2022,62.47
KO,4/6/2022,63.1
KO,4/7/2022,63.44
KO,4/8/2022,63.83
KO,4/11/2022,63.81
KO,4/12/2022,64.56
KO,4/13/2022,64.73
KO,4/14/2022,65.02
KO,4/18/2022,64.44
KO,4/19/2022,65.07
KO,4/20/2022,65.96
KO,4/21/2022,66.21
KO,4/22/2022,65.25
KO,4/25/2022,65.94
KO,4/26/2022,65.05
KO,4/27/2022,65.56
KO,4/28/2022,66.19
KO,4/29/2022,64.61
KO,5/2/2022,63.44
KO,5/3/2022,63.08
KO,5/4/2022,65.03
KO,5/5/2022,64.51
KO,5/6/2022,64.74
KO,5/9/2022,64.61
KO,5/10/2022,64.01
KO,5/11/2022,64.31
KO,5/12/2022,64.51
KO,5/13/2022,65.72
KO,5/16/2022,65.96
KO,5/17/2022,65.78
KO,5/18/2022,61.2
KO,5/19/2022,60
KO,5/20/2022,60.98
KO,5/23/2022,62.86
KO,5/24/2022,64.02
KO,5/25/2022,64.07
KO,5/26/2022,64.3
KO,5/27/2022,64.68
KO,5/31/2022,63.38
KO,6/1/2022,63.07
KO,6/2/2022,63.73
KO,6/3/2022,62.97
KO,6/6/2022,62.87
KO,6/7/2022,63.25
KO,6/8/2022,62.89
KO,6/9/2022,61.8
KO,6/10/2022,61.41
KO,6/13/2022,61.34
KO,6/14/2022,59.23
KO,6/15/2022,59.67
KO,6/16/2022,59.07
KO,6/17/2022,59.43
KO,6/21/2022,60.7
KO,6/22/2022,61.15
KO,6/23/2022,61.88
KO,6/24/2022,63.04
KO,6/27/2022,62.91
KO,6/28/2022,62.28
KO,6/29/2022,62.73
KO,6/30/2022,62.91
KO,7/1/2022,64.38
KO,7/5/2022,63.28
KO,7/6/2022,63.41
KO,7/7/2022,62.91
KO,7/8/2022,63.14
KO,7/11/2022,62.94
KO,7/12/2022,62.67
KO,7/13/2022,62.38
KO,7/14/2022,62.18
KO,7/15/2022,62.5
KO,7/18/2022,61.65
KO,7/19/2022,62.53
KO,7/20/2022,61.5
KO,7/21/2022,61.36
KO,7/22/2022,61.59
KO,7/25/2022,62.19
KO,7/26/2022,63.21
KO,7/27/2022,63.01
KO,7/28/2022,64.06
KO,7/29/2022,64.17
KO,8/1/2022,64.52
KO,8/2/2022,63.64
KO,8/3/2022,63.92
KO,8/4/2022,63.67
KO,8/5/2022,63.38
KO,8/8/2022,62.97
KO,8/9/2022,63.05
KO,8/10/2022,63.65
KO,8/11/2022,63.22
KO,8/12/2022,63.7
KO,8/15/2022,64.5
KO,8/16/2022,65.03
KO,8/17/2022,64.88
KO,8/18/2022,65.22
KO,8/19/2022,65.17
KO,8/22/2022,64.2
KO,8/23/2022,64.27
KO,8/24/2022,64.36
KO,8/25/2022,64.67
KO,8/26/2022,63.11
KO,8/29/2022,62.73
KO,8/30/2022,62.15
KO,8/31/2022,61.71
KO,9/1/2022,62
KO,9/2/2022,61.15
KO,9/6/2022,61.18
KO,9/7/2022,62.31
KO,9/8/2022,62.12
KO,9/9/2022,62.32
KO,9/12/2022,62.5
KO,9/13/2022,60.47
KO,9/14/2022,60.79
KO,9/15/2022,59.53
KO,9/16/2022,59.54
KO,9/19/2022,59.99
KO,9/20/2022,59.9
KO,9/21/2022,59.4
KO,9/22/2022,59.26
KO,9/23/2022,58.6
KO,9/26/2022,57.87
KO,9/27/2022,56.38
KO,9/28/2022,56.98
KO,9/29/2022,56.57
KO,9/30/2022,56.02
KO,10/3/2022,56.65
KO,10/4/2022,56.78
KO,10/5/2022,56.24
KO,10/6/2022,55.03
KO,10/7/2022,54.51
KO,10/10/2022,54.39
KO,10/11/2022,54.48
KO,10/12/2022,55.14
KO,10/13/2022,55.87
KO,10/14/2022,54.98
KO,10/17/2022,55.69
KO,10/18/2022,56.44
KO,10/19/2022,55.96
KO,10/20/2022,55.08
KO,10/21/2022,55.96
KO,10/24/2022,57.57
KO,10/25/2022,58.95
KO,10/26/2022,59.39
KO,10/27/2022,59.53
KO,10/28/2022,60.76
KO,10/31/2022,59.85
KO,11/1/2022,59.64
KO,11/2/2022,58.81
KO,11/3/2022,58.78
KO,11/4/2022,59.26
KO,11/7/2022,59.49
KO,11/8/2022,59.6
KO,11/9/2022,58.77
KO,11/10/2022,60.88
KO,11/11/2022,61.32
KO,11/14/2022,60.73
KO,11/15/2022,60.63
KO,11/16/2022,60.52
KO,11/17/2022,60.71
KO,11/18/2022,61.14
KO,11/21/2022,62.08
KO,11/22/2022,62.35
KO,11/23/2022,62.63
KO,11/25/2022,62.69
KO,11/28/2022,62.7
KO,11/29/2022,62.48
KO,11/30/2022,63.61
KO,12/1/2022,63.79
KO,12/2/2022,64.35
KO,12/5/2022,63.47
KO,12/6/2022,63.44
KO,12/7/2022,63.54
KO,12/8/2022,63.81
KO,12/9/2022,63.14
KO,12/12/2022,63.97
KO,12/13/2022,63.99
KO,12/14/2022,63.99
KO,12/15/2022,63.11
KO,12/16/2022,62.75
KO,12/19/2022,62.84
KO,12/20/2022,62.79
KO,12/21/2022,63.8
KO,12/22/2022,63.34
KO,12/23/2022,63.82
KO,12/27/2022,64.21
KO,12/28/2022,63.57
KO,12/29/2022,63.95
KO,12/30/2022,63.61
KO,1/3/2023,62.95
KO,1/4/2023,62.92
KO,1/5/2023,62.2
KO,1/6/2023,63.4
KO,1/9/2023,62.61
KO,1/10/2023,62.13
KO,1/11/2023,62.01
KO,1/12/2023,61.21
KO,1/13/2023,61.43
KO,1/17/2023,61.68
KO,1/18/2023,59.81
KO,1/19/2023,59.72
KO,1/20/2023,60.08
KO,1/23/2023,60.23
KO,1/24/2023,60.55
KO,1/25/2023,60.93
KO,1/26/2023,60.81
KO,1/27/2023,60.49
KO,1/30/2023,60.64
KO,1/31/2023,61.32
KO,2/1/2023,61.33
KO,2/2/2023,60.28
KO,2/3/2023,59.83
KO,2/6/2023,60.17
KO,2/7/2023,60.07
KO,2/8/2023,59.72
KO,2/9/2023,59.62
KO,2/10/2023,59.62
KO,2/13/2023,60.6
KO,2/14/2023,59.59
KO,2/15/2023,59.59
KO,2/16/2023,59.22
KO,2/17/2023,60.12
KO,2/21/2023,59.8
KO,2/22/2023,59.98
KO,2/23/2023,60.09
KO,2/24/2023,59.84
KO,2/27/2023,59.82
KO,2/28/2023,59.51
KO,3/1/2023,58.86
KO,3/2/2023,59.72
KO,3/3/2023,59.44
KO,3/6/2023,60.36
KO,3/7/2023,60.01
KO,3/8/2023,60.04
KO,3/9/2023,59.46
KO,3/10/2023,59.21
KO,3/13/2023,59.81
KO,3/14/2023,60.03
KO,3/15/2023,60.43
KO,3/16/2023,60.3
KO,3/17/2023,60.02
KO,3/20/2023,60.6
KO,3/21/2023,60.32
KO,3/22/2023,60.05
KO,3/23/2023,59.92
KO,3/24/2023,60.9
KO,3/27/2023,61.35
KO,3/28/2023,61.42
KO,3/29/2023,61.86
KO,3/30/2023,61.85
KO,3/31/2023,62.03
KO,4/3/2023,62.4
KO,4/4/2023,62.21
KO,4/5/2023,62.8
KO,4/6/2023,62.84
KO,4/10/2023,62.69
KO,4/11/2023,62.58
KO,4/12/2023,62.69
KO,4/13/2023,63.15
KO,4/14/2023,63.05
KO,4/17/2023,63.46
KO,4/18/2023,63.56
KO,4/19/2023,63.68
KO,4/20/2023,63.96
KO,4/21/2023,64.05
KO,4/24/2023,63.95
KO,4/25/2023,63.85
KO,4/26/2023,63.55
KO,4/27/2023,63.68
KO,4/28/2023,64.15
KO,5/1/2023,64.3
KO,5/2/2023,64.01
KO,5/3/2023,63.65
KO,5/4/2023,63.72
KO,5/5/2023,64.02
KO,5/8/2023,63.92
KO,5/9/2023,63.39
KO,5/10/2023,63.5
KO,5/11/2023,63.86
KO,5/12/2023,64.11
KO,5/15/2023,63.94
KO,5/16/2023,63.22
KO,5/17/2023,63.15
KO,5/18/2023,62.8
KO,5/19/2023,62.83
KO,5/22/2023,61.51
KO,5/23/2023,61.4
KO,5/24/2023,60.88
KO,5/25/2023,60.41
KO,5/26/2023,60.26
KO,5/30/2023,59.78
KO,5/31/2023,59.66
KO,6/1/2023,60
KO,6/2/2023,61.16
KO,6/5/2023,60.75
KO,6/6/2023,60.31
KO,6/7/2023,60.22
KO,6/8/2023,60.37
KO,6/9/2023,60.47
KO,6/12/2023,60.21
KO,6/13/2023,60.45
KO,6/14/2023,60.86
KO,6/15/2023,61.23
KO,6/16/2023,61.67
KO,6/20/2023,61.26
KO,6/21/2023,61.43
KO,6/22/2023,61.85
KO,6/23/2023,61.2
KO,6/26/2023,61.22
KO,6/27/2023,61.09
KO,6/28/2023,60.52
KO,6/29/2023,60.02
KO,6/30/2023,60.22
KO,7/3/2023,60.58
KO,7/5/2023,61.03
KO,7/6/2023,60.56
KO,7/7/2023,59.76
KO,7/10/2023,59.31
KO,7/11/2023,59.52
KO,7/12/2023,59.84
KO,7/13/2023,60.35
KO,7/14/2023,60.9
KO,7/17/2023,60.81
KO,7/18/2023,60.57
KO,7/19/2023,61.64
KO,7/20/2023,62.39
KO,7/21/2023,62.44
KO,7/24/2023,62.46
KO,7/25/2023,62.25
KO,7/26/2023,63.05
KO,7/27/2023,62.44
KO,7/28/2023,62.48
KO,7/31/2023,61.93
KO,8/1/2023,61.77
KO,8/2/2023,61.96
KO,8/3/2023,61.64
KO,8/4/2023,60.71
KO,8/7/2023,61.19
KO,8/8/2023,60.92
KO,8/9/2023,61.06
KO,8/10/2023,60.92
KO,8/11/2023,61.17
KO,8/14/2023,60.88
KO,8/15/2023,60.47
KO,8/16/2023,60.48
KO,8/17/2023,60.61
KO,8/18/2023,60.95
KO,8/21/2023,60.43
KO,8/22/2023,60.06
KO,8/23/2023,60.27
KO,8/24/2023,60.11
KO,8/25/2023,60.39
KO,8/28/2023,60.56
KO,8/29/2023,60.5
KO,8/30/2023,60.47
KO,8/31/2023,59.83
KO,9/1/2023,59.31
KO,9/5/2023,58.82
KO,9/6/2023,58.78
KO,9/7/2023,58.33
KO,9/8/2023,58.33
KO,9/11/2023,58.88
KO,9/12/2023,58.3
KO,9/13/2023,58.44
KO,9/14/2023,58.46
KO,9/15/2023,57.94
KO,9/18/2023,58.3
KO,9/19/2023,58.18
KO,9/20/2023,58.44
KO,9/21/2023,57.54
KO,9/22/2023,57.6
KO,9/25/2023,57
KO,9/26/2023,56.53
KO,9/27/2023,55.95
KO,9/28/2023,55.81
KO,9/29/2023,55.98
